BigBioPlot,ER244.Plot,PlantSpNum,FieldColorCode,Insecticide,SoilDrenchFungicide,FoliarFungicide,TreatmentName
29,1,1,Y,1,1,1,AllPesticides
29,2,1,W,1,0,0,Insecticide
29,3,1,G,0,0,0,Control
29,4,1,R,0,1,0,SoilDrenchFungicide
29,5,1,O,0,0,1,FoliarFungicide
64,6,32,O,0,0,1,FoliarFungicide
64,7,32,W,1,0,0,Insecticide
64,8,32,Y,1,1,1,AllPesticides
64,9,32,G,0,0,0,Control
64,10,32,R,0,1,0,SoilDrenchFungicide
69,11,1,R,0,1,0,SoilDrenchFungicide
69,12,1,Y,1,1,1,AllPesticides
69,13,1,O,0,0,1,FoliarFungicide
69,14,1,W,1,0,0,Insecticide
69,15,1,G,0,0,0,Control
78,16,32,O,0,0,1,FoliarFungicide
78,17,32,G,0,0,0,Control
78,18,32,R,0,1,0,SoilDrenchFungicide
78,19,32,W,1,0,0,Insecticide
78,20,32,Y,1,1,1,AllPesticides
82,21,16,O,0,0,1,FoliarFungicide
82,22,16,R,0,1,0,SoilDrenchFungicide
82,23,16,Y,1,1,1,AllPesticides
82,24,16,G,0,0,0,Control
82,25,16,W,1,0,0,Insecticide
83,26,1,Y,1,1,1,AllPesticides
83,27,1,R,0,1,0,SoilDrenchFungicide
83,28,1,W,1,0,0,Insecticide
83,29,1,G,0,0,0,Control
83,30,1,O,0,0,1,FoliarFungicide
105,31,32,R,0,1,0,SoilDrenchFungicide
105,32,32,G,0,0,0,Control
105,33,32,O,0,0,1,FoliarFungicide
105,34,32,Y,1,1,1,AllPesticides
105,35,32,W,1,0,0,Insecticide
108,36,16,Y,1,1,1,AllPesticides
108,37,16,G,0,0,0,Control
108,38,16,R,0,1,0,SoilDrenchFungicide
108,39,16,W,1,0,0,Insecticide
108,40,16,O,0,0,1,FoliarFungicide
109,41,1,W,1,0,0,Insecticide
109,42,1,Y,1,1,1,AllPesticides
109,43,1,O,0,0,1,FoliarFungicide
109,44,1,G,0,0,0,Control
109,45,1,R,0,1,0,SoilDrenchFungicide
110,46,4,R,0,1,0,SoilDrenchFungicide
