,plot.bigbio,plot,rich.trt,treatment,SpNum,year,species,mass.above,mass.below,cover,leaf.C,leaf.N,leaf.P,bigb.N,bigb.C,intent.sp
1,29,1,1,AllPesticides,1,2009,TARAXICUM OFFICINALIS,0.2,172.53,2,NA,NA,NA,1.894,47.473,FALSE
2,29,1,1,AllPesticides,1,2009,CREPIS TECTORUM,0.2,172.53,27,NA,NA,NA,1.894,47.473,FALSE
3,29,1,1,AllPesticides,1,2009,ERIGERON SP.,NA,NA,10,NA,NA,NA,1.894,47.473,FALSE
4,29,1,1,AllPesticides,1,2009,BOUTELOUA GRACILIS,15.1,172.53,NA,NA,NA,NA,1.894,47.473,FALSE
5,29,1,1,AllPesticides,1,2013,AMBROSIA ARTEMISIIFOLIA ELATIOR,0.64,710.5,NA,NA,NA,NA,1.894,47.473,FALSE
6,29,1,1,AllPesticides,1,2009,CREPIS TECTORUM,0.2,172.53,1,NA,NA,NA,1.894,47.473,FALSE
7,29,1,1,AllPesticides,1,2009,CYPERUS SP.,NA,NA,7,NA,NA,NA,1.894,47.473,FALSE
8,29,1,1,AllPesticides,1,2009,ERIGERON CANADENSIS,NA,NA,8,NA,NA,NA,1.894,47.473,FALSE
9,29,4,1,SoilDrenchFungicide,1,2009,Koecr,NA,NA,15,NA,NA,NA,1.894,47.473,FALSE
10,29,4,1,SoilDrenchFungicide,1,2009,HEDEOMA HISPIDA,0.05,138.65,1,NA,NA,NA,1.894,47.473,FALSE
11,29,4,1,SoilDrenchFungicide,1,2008,BARE GROUND,NA,NA,49,NA,NA,NA,1.894,47.473,FALSE
12,29,4,1,SoilDrenchFungicide,1,2008,CYPERUS SP.,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
13,29,4,1,SoilDrenchFungicide,1,2012,DIGITARIA SP.,3.2,304.28,NA,NA,NA,NA,1.894,47.473,FALSE
14,29,4,1,SoilDrenchFungicide,1,2010,CYPERUS SCHWEINITZII,5.9,355.23,NA,NA,NA,NA,1.894,47.473,FALSE
