,plot.bigbio,plot,rich.trt,treatment,SpNum,year,species,mass.above,mass.below,cover,leaf.C,leaf.N,leaf.P,bigb.N,bigb.C,intent.sp
1,29,1,1,AllPesticides,1,2012,ARISTIDA BASIRAMEA,25.8,894.74,4,NA,NA,NA,1.894,47.473,FALSE
2,29,1,1,AllPesticides,1,2007,CYPERUS SP.,0.6,NA,NA,NA,NA,NA,1.894,47.473,FALSE
3,29,1,1,AllPesticides,1,2008,MISCELLANEOUS GRASSES,NA,NA,26,NA,NA,NA,1.894,47.473,FALSE
4,29,1,1,AllPesticides,1,2010,TARAXICUM OFFICINALIS,2,450.62,5,NA,NA,NA,1.894,47.473,FALSE
5,29,1,1,AllPesticides,1,2013,CREPIS TECTORUM,0.28,710.5,3,NA,NA,NA,1.894,47.473,FALSE
6,29,1,1,AllPesticides,1,2010,CYPERUS SCHWEINITZII,0.1,450.62,NA,NA,NA,NA,1.894,47.473,FALSE
7,29,3,1,Control,1,2012,RUMEX ACETOSELLA,1,333.88,4,NA,NA,NA,1.894,47.473,FALSE
8,29,1,1,AllPesticides,1,2011,Poapr,1.7,498.52,NA,NA,NA,NA,1.894,47.473,FALSE
9,29,1,1,AllPesticides,1,2013,AMBROSIA ARTEMISIIFOLIA ELATIOR,0.64,710.5,NA,NA,NA,NA,1.894,47.473,FALSE
10,29,3,1,Control,1,2010,CYPERUS FILICULMIS,0.9,289.45,NA,NA,NA,NA,1.894,47.473,FALSE
11,29,1,1,AllPesticides,1,2013,BOUTELOUA GRACILIS,0.17,710.5,NA,NA,NA,NA,1.894,47.473,FALSE
12,29,3,1,Control,1,2011,AGROPYRON REPENS,11.7,275,NA,NA,NA,NA,1.894,47.473,FALSE
13,29,3,1,Control,1,2007,Lesca,83.1,NA,NA,NA,NA,NA,1.894,47.473,TRUE
14,29,2,1,Insecticide,1,2013,Luppe,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
15,29,2,1,Insecticide,1,2013,Monfi,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
16,29,2,1,Insecticide,1,2013,Lesca,49.7,514.858,12,NA,NA,NA,1.894,47.473,TRUE
17,29,2,1,Insecticide,1,2011,EUPHORBIA GLYPTOSPERMA,0.4,372.86,NA,NA,NA,NA,1.894,47.473,FALSE
18,29,2,1,Insecticide,1,2013,MISCELLANEOUS LITTER,NA,NA,6,NA,NA,NA,1.894,47.473,FALSE
19,29,3,1,Control,1,2011,Achmi,0.1,275,NA,NA,NA,NA,1.894,47.473,FALSE
20,29,3,1,Control,1,2009,TARAXICUM OFFICINALIS,0.2,596.88,2,NA,NA,NA,1.894,47.473,FALSE
21,29,3,1,Control,1,2011,Luppe,NA,NA,1,NA,NA,NA,1.894,47.473,FALSE
22,29,3,1,Control,1,2013,TARAXICUM OFFICINALIS,NA,NA,3,NA,NA,NA,1.894,47.473,FALSE
23,29,1,1,AllPesticides,1,2009,MISCELLANEOUS FORBS,NA,NA,7,NA,NA,NA,1.894,47.473,FALSE
24,29,3,1,Control,1,2011,BARE GROUND,NA,NA,12,NA,NA,NA,1.894,47.473,FALSE
25,29,3,1,Control,1,2007,HEDEOMA HISPIDA,0.4,NA,NA,NA,NA,NA,1.894,47.473,FALSE
26,29,3,1,Control,1,2012,MISCELLANEOUS LITTER,NA,NA,30,NA,NA,NA,1.894,47.473,FALSE
27,29,3,1,Control,1,2013,Poapr,1.52,419.751,2,NA,NA,NA,1.894,47.473,FALSE
28,29,3,1,Control,1,2008,BARE GROUND,NA,NA,53,NA,NA,NA,1.894,47.473,FALSE
29,29,3,1,Control,1,2012,PHYSALIS VIRGINIANA,0.7,333.88,NA,NA,NA,NA,1.894,47.473,FALSE
30,29,2,1,Insecticide,1,2009,POLYGALA POLYGAMA,0.2,272.04,NA,NA,NA,NA,1.894,47.473,FALSE
31,29,3,1,Control,1,2010,PHYSALIS VIRGINIANA,4.4,289.45,NA,NA,NA,NA,1.894,47.473,FALSE
32,29,3,1,Control,1,2010,MISCELLANEOUS SP.,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
33,29,3,1,Control,1,2007,TARAXICUM OFFICINALIS,0.9,NA,NA,NA,NA,NA,1.894,47.473,FALSE
34,29,1,1,AllPesticides,1,2010,CYPERUS SP.,NA,NA,5,NA,NA,NA,1.894,47.473,FALSE
35,29,1,1,AllPesticides,1,2013,TARAXICUM OFFICINALIS,NA,NA,2,NA,NA,NA,1.894,47.473,FALSE
36,29,1,1,AllPesticides,1,2007,BOUTELOUA GRACILIS,0.3,NA,NA,NA,NA,NA,1.894,47.473,FALSE
