Year,Date,Experiment,Plot,Treatment,Species,Mass(g),Mass g/m^2)
2007,10/5/07,E244,1,AllPesticides,Agropyron repens,0.11,1.1
2007,10/5/07,E244,1,AllPesticides,Aristida basiramea,0.96,9.6
2007,10/5/07,E244,1,AllPesticides,Bouteloua gracilis,0.03,0.3
2007,10/5/07,E244,1,AllPesticides,Cyperus sp.,0.06,0.6
2007,10/5/07,E244,1,AllPesticides,Lespedeza capitata,5.42,54.2
2007,10/5/07,E244,1,AllPesticides,Schizachyrium scoparium,0.13,1.3
2007,10/2/07,E244,2,Insecticide,Lespedeza capitata,0.32,3.2
2007,10/2/07,E244,2,Insecticide,Agropyron repens,0.22,2.2
2007,10/2/07,E244,2,Insecticide,Agrostis scabra,2.05,20.5
2007,10/2/07,E244,2,Insecticide,Cyperus sp.,0.6,6
2007,10/16/07,E244,3,Control,Taraxicum officinalis,0.09,0.9
2007,10/16/07,E244,3,Control,Petalostemum purpureum,0.02,0.2
2007,10/16/07,E244,3,Control,Lespedeza capitata,8.31,83.1
2007,10/16/07,E244,3,Control,Hedeoma hispida,0.04,0.4
2007,10/16/07,E244,3,Control,Cyperus Tectorum,0.17,1.7
2007,10/16/07,E244,3,Control,Cyperus sp.,0.07,0.7
2007,10/16/07,E244,3,Control,Aristida basiramea,2.04,20.4
2007,10/16/07,E244,3,Control,Bouteloua gracilis,0.01,0.1
2007,10/5/07,E244,4,SoilDrenchFungicide,Lespedeza capitata,5.86,58.6
2007,10/5/07,E244,4,SoilDrenchFungicide,Rumex acetosella,0.38,3.8
2007,10/5/07,E244,4,SoilDrenchFungicide,Schizachyrium scoparium,0.06,0.6
2007,10/5/07,E244,4,SoilDrenchFungicide,Panicum oligosanthes,0.21,2.1
2007,10/5/07,E244,4,SoilDrenchFungicide,Cyperus sp.,0.11,1.1
2007,10/5/07,E244,4,SoilDrenchFungicide,Crepis tectorum,0.01,0.1
2007,10/5/07,E244,4,SoilDrenchFungicide,Aristida basiramea,1.25,12.5
2007,10/5/07,E244,4,SoilDrenchFungicide,Euphorbia glyptosperma,0.01,0.1
2007,10/5/07,E244,5,FoliarFungicide,Crepis tectorum,0.08,0.8
2007,10/5/07,E244,5,FoliarFungicide,Agrostis scabra,1.64,16.4
2007,10/5/07,E244,5,FoliarFungicide,Rumex acetosella,0.08,0.8
2007,10/5/07,E244,5,FoliarFungicide,Poa pratensis,0.27,2.7
2007,10/5/07,E244,5,FoliarFungicide,Cyperus sp.,0.06,0.6
2007,10/5/07,E244,5,FoliarFungicide,Bouteloua gracilis,0.07,0.7
2007,10/5/07,E244,5,FoliarFungicide,Ambrosia artemisiifolia elatior,0.23,2.3
2007,10/5/07,E244,5,FoliarFungicide,Lespedeza capitata,8.18,81.8
2007,10/5/07,E244,6,FoliarFungicide,Andropogon gerardi,8.18,81.8
2007,10/5/07,E244,6,FoliarFungicide,Panicum virgatum,0.15,1.5
2007,10/5/07,E244,6,FoliarFungicide,Schizachyrium scoparium,7.03,70.3
2007,10/5/07,E244,6,FoliarFungicide,Solidago nemoralis,0.06,0.6
2007,10/5/07,E244,6,FoliarFungicide,Petalostemum villosum,1.44,14.4
2007,10/5/07,E244,6,FoliarFungicide,Solidago rigida,6.02,60.2
2007,10/5/07,E244,6,FoliarFungicide,Petalostemum purpureum,2.05,20.5
2007,10/5/07,E244,6,FoliarFungicide,Lupinus perennis,6.58,65.8
2007,10/5/07,E244,6,FoliarFungicide,Lespedeza capitata,0.95,9.5
2007,10/5/07,E244,6,FoliarFungicide,Bouteloua gracilis,1.43,14.3
2007,10/5/07,E244,6,FoliarFungicide,Achillea millefolium(lanulosa),0.07,0.7
2007,10/5/07,E244,6,FoliarFungicide,Sorghastrum nutans,1.85,18.5
