Experiment,Year,Date,Plot,Treatment,Species,Mass(g),Mass g/m^2)
E244,2010,12/7/10,68,Insecticide,Roots,13.71,2254.75
E244,2010,12/8/10,115,Insecticide,Roots,7.16,1177.53
E244,2010,12/7/10,108,Insecticide,Roots,1.09,179.26
E244,2010,12/7/10,105,Insecticide,Roots,17.7,2910.94
E244,2010,12/9/10,66,SoilDrenchFungicide,Roots,4.59,754.87
E244,2010,12/9/10,97,Insecticide,Roots,1.39,228.6
E244,2010,12/9/10,71,SoilDrenchFungicide,Roots,3.49,573.97
E244,2010,12/7/10,91,Insecticide,Roots,6.69,1100.24
E244,2010,12/9/10,86,Insecticide,Roots,1.43,235.18
E244,2010,12/9/10,80,SoilDrenchFungicide,Roots,10.95,1800.84
E244,2010,12/7/10,81,Insecticide,Roots,7.18,1180.82
E244,2010,12/9/10,83,SoilDrenchFungicide,Roots,6.08,999.92
E244,2010,12/9/10,77,Insecticide,Roots,12.54,2062.33
E244,2010,12/9/10,4,SoilDrenchFungicide,Roots,2.16,355.23
E244,2010,12/9/10,89,SoilDrenchFungicide,Roots,0.65,106.9
E244,2010,12/9/10,124,Insecticide,Roots,1.36,223.67
E244,2010,12/9/10,61,Insecticide,Roots,0.83,136.5
E244,2010,12/7/10,92,SoilDrenchFungicide,Roots,9.76,1605.13
E244,2010,12/7/10,57,Insecticide,Roots,3.12,513.12
E244,2010,12/7/10,54,Insecticide,Roots,11.13,1830.44
E244,2010,12/7/10,48,Insecticide,Roots,10.18,1674.2
E244,2010,12/7/10,100,SoilDrenchFungicide,Roots,2.79,458.84
E244,2010,12/9/10,41,Insecticide,Roots,4.74,779.54
E244,2010,12/9/10,39,Insecticide,Roots,13.66,2246.53
E244,2010,12/7/10,101,SoilDrenchFungicide,Roots,4.08,671
E244,2010,12/7/10,35,Insecticide,Roots,4.15,682.51
E244,2010,12/7/10,28,Insecticide,Roots,2.76,453.91
E244,2010,12/7/10,25,Insecticide,Roots,9.58,1575.53
E244,2010,12/9/10,106,SoilDrenchFungicide,Roots,0.69,113.48
E244,2010,12/9/10,74,Insecticide,Roots,4.9,805.85
E244,2010,12/9/10,141,FoliarFungicide,Roots,5.27,866.71
E244,2010,12/7/10,10,SoilDrenchFungicide,Roots,10.17,1672.56
E244,2010,12/7/10,11,SoilDrenchFungicide,Roots,0.72,118.41
E244,2010,12/7/10,18,SoilDrenchFungicide,Roots,5.05,830.52
E244,2010,12/7/10,205,Insecticide,Roots,2.4,394.7
E244,2010,12/7/10,197,Insecticide,Roots,0.8,131.57
E244,2010,12/9/10,22,SoilDrenchFungicide,Roots,10.78,1772.88
E244,2010,12/7/10,195,Insecticide,Roots,7.91,1300.88
E244,2010,12/9/10,186,Insecticide,Roots,5.85,962.09
E244,2010,12/7/10,27,SoilDrenchFungicide,Roots,2.39,393.06
E244,2010,12/9/10,181,Insecticide,Roots,1.12,184.2
E244,2010,12/9/10,179,Insecticide,Roots,7.09,1166.02
E244,2010,12/7/10,171,Insecticide,Roots,9.54,1568.95
E244,2010,12/7/10,31,SoilDrenchFungicide,Roots,9.53,1567.31
E244,2010,12/9/10,63,SoilDrenchFungicide,Roots,0.45,74.01
E244,2010,12/9/10,146,Insecticide,Roots,3.44,565.74
E244,2010,12/9/10,112,SoilDrenchFungicide,Roots,5.41,889.73
E244,2010,12/9/10,130,Insecticide,Roots,5.04,828.88
E244,2010,12/7/10,58,SoilDrenchFungicide,Roots,13.06,2147.85
E244,2010,12/7/10,133,Insecticide,Roots,3.08,506.54
E244,2010,12/9/10,52,SoilDrenchFungicide,Roots,28.84,4743.03
E244,2010,12/7/10,170,Insecticide,Roots,13.98,2299.15
E244,2010,12/8/10,144,Insecticide,Roots,1.71,281.23
E244,2010,12/7/10,38,SoilDrenchFungicide,Roots,8.02,1318.97
E244,2010,12/9/10,46,SoilDrenchFungicide,Roots,9.55,1570.59
E244,2010,12/7/10,155,Insecticide,Roots,8.13,1337.06
E244,2010,12/7/10,45,SoilDrenchFungicide,Roots,3.59,590.41
E244,2010,12/7/10,40,FoliarFungicide,Roots,10.33,1698.87
E244,2010,12/9/10,159,Insecticide,Roots,1.87,307.54
E244,2010,12/9/10,120,Insecticide,Roots,5.37,883.15
E244,2010,12/9/10,137,Insecticide,Roots,8.9,1463.7
E244,2010,12/7/10,16,FoliarFungicide,Roots,9.45,1554.15
E244,2010,12/7/10,19,Insecticide,Roots,3.6,592.06
E244,2010,12/9/10,140,FoliarFungicide,Roots,7.2,1184.11
E244,2010,12/9/10,134,FoliarFungicide,Roots,1.57,258.2
E244,2010,12/7/10,129,FoliarFungicide,Roots,6.17,1014.72
E244,2010,12/9/10,204,SoilDrenchFungicide,Roots,3.85,633.17
E244,2010,12/9/10,122,FoliarFungicide,Roots,1.64,269.71
E244,2010,12/8/10,117,FoliarFungicide,Roots,3.8,624.95
E244,2010,12/8/10,111,FoliarFungicide,Roots,11.93,1962.01
E244,2010,12/7/10,5,FoliarFungicide,Roots,1.31,215.44
E244,2010,12/9/10,110,FoliarFungicide,Roots,1.27,208.86
E244,2010,12/7/10,6,FoliarFungicide,Roots,4.83,794.34
E244,2010,12/7/10,103,FoliarFungicide,Roots,3.45,567.39
E244,2010,12/7/10,99,FoliarFungicide,Roots,2.36,388.13
E244,2010,12/7/10,192,SoilDrenchFungicide,Roots,5.37,883.15
E244,2010,12/9/10,70,FoliarFungicide,Roots,5.26,865.06
E244,2010,12/7/10,43,FoliarFungicide,Roots,5.9,970.31
E244,2010,12/7/10,49,FoliarFungicide,Roots,10.16,1670.92
E244,2010,12/7/10,53,FoliarFungicide,Roots,6.13,1008.14
E244,2010,12/9/10,56,FoliarFungicide,Roots,1.37,225.31
E244,2010,12/9/10,33,FoliarFungicide,Roots,6.82,1121.62
E244,2010,12/7/10,94,FoliarFungicide,Roots,6.89,1133.13
E244,2010,12/9/10,62,FoliarFungicide,Roots,0.92,151.3
E244,2010,12/9/10,13,FoliarFungicide,Roots,0.56,92.1
E244,2010,12/7/10,72,FoliarFungicide,Roots,4.56,749.94
E244,2010,12/9/10,76,FoliarFungicide,Roots,11.63,1912.67
E244,2010,12/7/10,21,FoliarFungicide,Roots,5.73,942.36
E244,2010,12/7/10,85,FoliarFungicide,Roots,8.54,1404.49
E244,2010,12/8/10,88,FoliarFungicide,Roots,0.79,129.92
E244,2010,12/8/10,149,FoliarFungicide,Roots,4.97,817.37
E244,2010,12/9/10,30,FoliarFungicide,Roots,1.43,235.18
E244,2010,12/7/10,191,FoliarFungicide,Roots,6.4,1052.55
E244,2010,12/9/10,162,Insecticide,Roots,2.43,399.64
E244,2010,12/7/10,7,Insecticide,Roots,4.68,769.67
E244,2010,12/7/10,116,SoilDrenchFungicide,Roots,7.91,1300.88
E244,2010,12/7/10,2,Insecticide,Roots,1.1,180.91
E244,2010,12/7/10,121,SoilDrenchFungicide,Roots,4.03,662.77
E244,2010,12/7/10,128,SoilDrenchFungicide,Roots,6.03,991.69
E244,2010,12/7/10,135,SoilDrenchFungicide,Roots,1.64,269.71
E244,2010,12/7/10,139,SoilDrenchFungicide,Roots,9.98,1641.31
E244,2010,12/9/10,143,SoilDrenchFungicide,Roots,2.41,396.35
E244,2010,12/9/10,150,SoilDrenchFungicide,Roots,2.47,406.22
E244,2010,12/9/10,153,SoilDrenchFungicide,Roots,4.32,710.47
E244,2010,12/9/10,160,SoilDrenchFungicide,Roots,1.89,310.83
E244,2010,12/8/10,201,FoliarFungicide,Roots,0.89,146.37
E244,2010,12/9/10,196,SoilDrenchFungicide,Roots,1.1,180.91
E244,2010,12/9/10,175,FoliarFungicide,Roots,8,1315.68
E244,2010,12/7/10,152,FoliarFungicide,Roots,8.48,1394.62
E244,2010,12/9/10,189,SoilDrenchFungicide,Roots,4.52,743.36
E244,2010,12/7/10,157,FoliarFungicide,Roots,5.14,845.33
E244,2010,12/9/10,185,SoilDrenchFungicide,Roots,0.76,124.99
E244,2010,12/9/10,163,FoliarFungicide,Roots,1.7,279.58
E244,2010,12/9/10,199,FoliarFungicide,Roots,1.09,179.26
E244,2010,12/9/10,168,FoliarFungicide,Roots,7.18,1180.82
E244,2010,12/8/10,164,SoilDrenchFungicide,Roots,1.09,179.26
E244,2010,12/9/10,174,SoilDrenchFungicide,Roots,5.79,952.22
E244,2010,12/7/10,177,FoliarFungicide,Roots,8.99,1478.5
E244,2010,12/9/10,182,FoliarFungicide,Roots,1.29,212.15
E244,2010,12/7/10,169,SoilDrenchFungicide,Roots,8.71,1432.45
E244,2010,12/9/10,187,FoliarFungicide,Roots,5.45,896.31
E244,2010,12/9/10,14,Insecticide,Roots,0.99,162.82
E244,2010,12/7/10,178,SoilDrenchFungicide,Roots,4.29,705.53
E244,2010,12/9/10,123,Control,Roots,1.08,177.62
E244,2010,12/9/10,142,Control,Roots,5.92,973.6
E244,2010,12/9/10,161,AllPesticides,Roots,3.4,559.16
E244,2010,12/7/10,104,Control,Roots,2.96,486.8
E244,2010,12/7/10,156,AllPesticides,Roots,2.03,333.85
E244,2010,12/9/10,151,AllPesticides,Roots,4.28,703.89
E244,2010,12/9/10,147,AllPesticides,Roots,4.1,674.29
E244,2010,12/9/10,107,Control,Roots,0.68,111.83
E244,2010,12/9/10,145,AllPesticides,Roots,4.38,720.34
E244,2010,12/7/10,136,AllPesticides,Roots,8.69,1429.16
E244,2010,12/9/10,114,Control,Roots,4.5,740.07
E244,2010,12/9/10,131,AllPesticides,Roots,2.42,397.99
E244,2010,12/7/10,98,Control,Roots,1.03,169.39
E244,2010,12/7/10,125,AllPesticides,Roots,1.7,279.58
E244,2010,12/9/10,173,AllPesticides,Roots,8.62,1417.65
E244,2010,12/9/10,119,AllPesticides,Roots,6,986.76
E244,2010,12/7/10,113,AllPesticides,Roots,5.59,919.33
E244,2010,12/8/10,109,AllPesticides,Roots,1.59,261.49
E244,2010,12/9/10,126,Control,Roots,4.65,764.74
E244,2010,12/9/10,102,AllPesticides,Roots,5.3,871.64
E244,2010,12/9/10,132,Control,Roots,2.41,396.35
E244,2010,12/7/10,96,AllPesticides,Roots,4.17,685.8
E244,2010,12/7/10,95,AllPesticides,Roots,10.43,1715.32
E244,2010,12/7/10,138,Control,Roots,16.05,2639.59
E244,2010,12/7/10,90,AllPesticides,Roots,1.14,187.48
E244,2010,12/7/10,84,AllPesticides,Roots,10.4,1710.39
E244,2010,12/7/10,127,AllPesticides,Roots,5.94,976.89
E244,2010,12/9/10,69,Control,Roots,3.22,529.56
E244,2010,12/7/10,3,Control,Roots,1.76,289.45
E244,2010,12/9/10,9,Control,Roots,4.44,730.2
E244,2010,12/9/10,15,Control,Roots,0.72,118.41
E244,2010,12/7/10,17,Control,Roots,6.54,1075.57
