Exp,Year,Plot,Treatment,Date,Species,Percent Cover
E244,2008,1,AllPesticides,15-Oct-08, Agropyron repens                ,2
E244,2008,1,AllPesticides,15-Oct-08, Bare ground                     ,46
E244,2008,1,AllPesticides,15-Oct-08, Berteroa incana                 ,1
E244,2008,1,AllPesticides,15-Oct-08, Bouteloua gracilis              ,3
E244,2008,1,AllPesticides,15-Oct-08, Cyperus schweinitzii            ,1
E244,2008,1,AllPesticides,15-Oct-08, Grasses                         ,26
E244,2008,1,AllPesticides,15-Oct-08, Lespedeza capitata              ,7
E244,2008,1,AllPesticides,15-Oct-08, Lupinus perennis                ,9
E244,2008,1,AllPesticides,15-Oct-08, Taraxicum officinalis           ,5
E244,2008,2,Insecticide,15-Oct-08, Achillea millefolium(lanulosa)  ,3
E244,2008,2,Insecticide,15-Oct-08, Agropyron repens                ,2
E244,2008,2,Insecticide,15-Oct-08, Bare ground                     ,40
E244,2008,2,Insecticide,15-Oct-08, Grasses                         ,24
E244,2008,2,Insecticide,15-Oct-08, Lespedeza capitata              ,9
E244,2008,2,Insecticide,15-Oct-08, Lupinus perennis                ,16
E244,2008,2,Insecticide,15-Oct-08, Taraxicum officinalis           ,6
E244,2008,3,Control,15-Oct-08, Agropyron repens                ,2
E244,2008,3,Control,15-Oct-08, Bare ground                     ,53
E244,2008,3,Control,15-Oct-08, Cyperus sp.                     ,1
E244,2008,3,Control,15-Oct-08, Grasses                         ,18
E244,2008,3,Control,15-Oct-08, Lespedeza capitata              ,12
E244,2008,3,Control,15-Oct-08, Rumex acetosella                ,11
E244,2008,3,Control,15-Oct-08, Taraxicum officinalis           ,3
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,49
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Cyperus sp.                     ,2
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Grasses                         ,14
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Lespedeza capitata              ,14
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Rumex acetosella                ,6
E244,2008,4,SoilDrenchFungicide,15-Oct-08, Taraxicum officinalis           ,15
E244,2008,5,FoliarFungicide,15-Oct-08, Bare ground                     ,36
E244,2008,5,FoliarFungicide,15-Oct-08, Grasses                         ,16
E244,2008,5,FoliarFungicide,15-Oct-08, Lespedeza capitata              ,15
E244,2008,5,FoliarFungicide,15-Oct-08, Lupinus perennis                ,12
E244,2008,5,FoliarFungicide,15-Oct-08, Rumex acetosella                ,10
E244,2008,5,FoliarFungicide,15-Oct-08, Taraxicum officinalis           ,11
E244,2008,6,FoliarFungicide,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,6,FoliarFungicide,15-Oct-08, Amorpha canescens               ,4
E244,2008,6,FoliarFungicide,15-Oct-08, Andropogon gerardi              ,2
E244,2008,6,FoliarFungicide,15-Oct-08, Bare ground                     ,15
E244,2008,6,FoliarFungicide,15-Oct-08, Bouteloua gracilis              ,15
E244,2008,6,FoliarFungicide,15-Oct-08, Lespedeza capitata              ,1
E244,2008,6,FoliarFungicide,15-Oct-08, Liatris aspera                  ,10
E244,2008,6,FoliarFungicide,15-Oct-08, Lupinus perennis                ,15
E244,2008,6,FoliarFungicide,15-Oct-08, Petalostemum purpureum          ,2
E244,2008,6,FoliarFungicide,15-Oct-08, Schizachyrium scoparium         ,30
E244,2008,6,FoliarFungicide,15-Oct-08, Solidago rigida                 ,5
E244,2008,7,Insecticide,15-Oct-08, Achillea millefolium(lanulosa)  ,1.5
E244,2008,7,Insecticide,15-Oct-08, Amorpha canescens               ,10
E244,2008,7,Insecticide,15-Oct-08, Bare ground                     ,19.5
E244,2008,7,Insecticide,15-Oct-08, Bouteloua gracilis              ,26
E244,2008,7,Insecticide,15-Oct-08, Lespedeza capitata              ,3
E244,2008,7,Insecticide,15-Oct-08, Liatris aspera                  ,2
E244,2008,7,Insecticide,15-Oct-08, Petalostemum purpureum          ,3
E244,2008,7,Insecticide,15-Oct-08, Petalostemum villosum           ,6
E244,2008,7,Insecticide,15-Oct-08, Schizachyrium scoparium         ,12
E244,2008,7,Insecticide,15-Oct-08, Solidago nemoralis              ,15
E244,2008,7,Insecticide,15-Oct-08, Stipa spartea                   ,2
E244,2008,8,AllPesticides,15-Oct-08, Amorpha canescens               ,3
E244,2008,8,AllPesticides,15-Oct-08, Andropogon gerardi              ,8
E244,2008,8,AllPesticides,15-Oct-08, Bare ground                     ,37
E244,2008,8,AllPesticides,15-Oct-08, Bouteloua gracilis              ,18
E244,2008,8,AllPesticides,15-Oct-08, Lespedeza capitata              ,5
E244,2008,8,AllPesticides,15-Oct-08, Liatris aspera                  ,4
E244,2008,8,AllPesticides,15-Oct-08, Petalostemum purpureum          ,2
E244,2008,8,AllPesticides,15-Oct-08, Petalostemum villosum           ,1
E244,2008,8,AllPesticides,15-Oct-08, Schizachyrium scoparium         ,16
E244,2008,8,AllPesticides,15-Oct-08, Solidago nemoralis              ,6
E244,2008,9,Control,15-Oct-08, Amorpha canescens               ,5
E244,2008,9,Control,15-Oct-08, Bare ground                     ,31
E244,2008,9,Control,15-Oct-08, Bouteloua curtipendula          ,5
E244,2008,9,Control,15-Oct-08, Bouteloua gracilis              ,15
E244,2008,9,Control,15-Oct-08, Coreopsis palmata               ,2
E244,2008,9,Control,15-Oct-08, Lespedeza capitata              ,1
E244,2008,9,Control,15-Oct-08, Lupinus perennis                ,12
E244,2008,9,Control,15-Oct-08, Petalostemum purpureum          ,4
E244,2008,9,Control,15-Oct-08, Petalostemum villosum           ,4
E244,2008,9,Control,15-Oct-08, Schizachyrium scoparium         ,15
E244,2008,9,Control,15-Oct-08, Solidago nemoralis              ,6
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Achillea millefolium(lanulosa)  ,1
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Bare ground                     ,16
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Bouteloua gracilis              ,22
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Lespedeza capitata              ,1
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Liatris aspera                  ,6
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Lupinus perennis                ,8
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Monarda fistulosa               ,8
E244,2008,10,SoilDrenchFungicide,15-Oct-08, Petalostemum purpureum          ,3
