Exp,Year,Plot,Treatment,Date,Species,Percent.Cover
E244,2008,1,AllPesticides,10/15/2008,Agropyron repens,2
E244,2008,1,AllPesticides,10/15/2008,Bare ground,46
E244,2008,1,AllPesticides,10/15/2008,Berteroa incana,1
E244,2008,1,AllPesticides,10/15/2008,Bouteloua gracilis,3
E244,2008,1,AllPesticides,10/15/2008,Cyperus schweinitzii,1
E244,2008,1,AllPesticides,10/15/2008,Miscellaneous grasses,26
E244,2008,1,AllPesticides,10/15/2008,Lespedeza capitata,7
E244,2008,1,AllPesticides,10/15/2008,Lupinus perennis,9
E244,2008,1,AllPesticides,10/15/2008,Taraxicum officinalis,5
E244,2008,2,Insecticide,10/15/2008,Achillea millefolium,3
E244,2008,2,Insecticide,10/15/2008,Agropyron repens,2
E244,2008,2,Insecticide,10/15/2008,Bare ground,40
E244,2008,2,Insecticide,10/15/2008,Miscellaneous grasses,24
E244,2008,2,Insecticide,10/15/2008,Lespedeza capitata,9
E244,2008,2,Insecticide,10/15/2008,Lupinus perennis,16
E244,2008,2,Insecticide,10/15/2008,Taraxicum officinalis,6
E244,2008,3,Control,10/15/2008,Agropyron repens,2
E244,2008,3,Control,10/15/2008,Bare ground,53
E244,2008,3,Control,10/15/2008,Cyperus sp.,1
E244,2008,3,Control,10/15/2008,Miscellaneous grasses,18
E244,2008,3,Control,10/15/2008,Lespedeza capitata,12
E244,2008,3,Control,10/15/2008,Rumex acetosella,11
E244,2008,3,Control,10/15/2008,Taraxicum officinalis,3
E244,2008,4,SoilDrenchFungicide,10/15/2008,Bare ground,49
E244,2008,4,SoilDrenchFungicide,10/15/2008,Cyperus sp.,2
E244,2008,4,SoilDrenchFungicide,10/15/2008,Miscellaneous grasses,14
E244,2008,4,SoilDrenchFungicide,10/15/2008,Lespedeza capitata,14
E244,2008,4,SoilDrenchFungicide,10/15/2008,Rumex acetosella,6
E244,2008,4,SoilDrenchFungicide,10/15/2008,Taraxicum officinalis,15
E244,2008,5,FoliarFungicide,10/15/2008,Bare ground,36
E244,2008,5,FoliarFungicide,10/15/2008,Miscellaneous grasses,16
E244,2008,5,FoliarFungicide,10/15/2008,Lespedeza capitata,15
E244,2008,5,FoliarFungicide,10/15/2008,Lupinus perennis,12
E244,2008,5,FoliarFungicide,10/15/2008,Rumex acetosella,10
E244,2008,5,FoliarFungicide,10/15/2008,Taraxicum officinalis,11
E244,2008,6,FoliarFungicide,10/15/2008,Achillea millefolium,1
E244,2008,6,FoliarFungicide,10/15/2008,Amorpha canescens,4
E244,2008,6,FoliarFungicide,10/15/2008,Andropogon gerardi,2
E244,2008,6,FoliarFungicide,10/15/2008,Bare ground,15
E244,2008,6,FoliarFungicide,10/15/2008,Bouteloua gracilis,15
E244,2008,6,FoliarFungicide,10/15/2008,Lespedeza capitata,1
E244,2008,6,FoliarFungicide,10/15/2008,Liatris aspera,10
E244,2008,6,FoliarFungicide,10/15/2008,Lupinus perennis,15
E244,2008,6,FoliarFungicide,10/15/2008,Petalostemum purpureum,2
E244,2008,6,FoliarFungicide,10/15/2008,Schizachyrium scoparium,30
E244,2008,6,FoliarFungicide,10/15/2008,Solidago rigida,5
E244,2008,7,Insecticide,10/15/2008,Achillea millefolium,1.5
E244,2008,7,Insecticide,10/15/2008,Amorpha canescens,10
E244,2008,7,Insecticide,10/15/2008,Bare ground,19.5
E244,2008,7,Insecticide,10/15/2008,Bouteloua gracilis,26
E244,2008,7,Insecticide,10/15/2008,Lespedeza capitata,3
E244,2008,7,Insecticide,10/15/2008,Liatris aspera,2
E244,2008,7,Insecticide,10/15/2008,Petalostemum purpureum,3
E244,2008,7,Insecticide,10/15/2008,Petalostemum villosum,6
E244,2008,7,Insecticide,10/15/2008,Schizachyrium scoparium,12
E244,2008,7,Insecticide,10/15/2008,Solidago nemoralis,15
E244,2008,7,Insecticide,10/15/2008,Stipa spartea,2
E244,2008,8,AllPesticides,10/15/2008,Amorpha canescens,3
E244,2008,8,AllPesticides,10/15/2008,Andropogon gerardi,8
E244,2008,8,AllPesticides,10/15/2008,Bare ground,37
E244,2008,8,AllPesticides,10/15/2008,Bouteloua gracilis,18
E244,2008,8,AllPesticides,10/15/2008,Lespedeza capitata,5
E244,2008,8,AllPesticides,10/15/2008,Liatris aspera,4
E244,2008,8,AllPesticides,10/15/2008,Petalostemum purpureum,2
E244,2008,8,AllPesticides,10/15/2008,Petalostemum villosum,1
E244,2008,8,AllPesticides,10/15/2008,Schizachyrium scoparium,16
E244,2008,8,AllPesticides,10/15/2008,Solidago nemoralis,6
E244,2008,9,Control,10/15/2008,Amorpha canescens,5
E244,2008,9,Control,10/15/2008,Bare ground,31
E244,2008,9,Control,10/15/2008,Bouteloua curtipendula,5
E244,2008,9,Control,10/15/2008,Bouteloua gracilis,15
E244,2008,9,Control,10/15/2008,Coreopsis palmata,2
E244,2008,9,Control,10/15/2008,Lespedeza capitata,1
E244,2008,9,Control,10/15/2008,Lupinus perennis,12
E244,2008,9,Control,10/15/2008,Petalostemum purpureum,4
E244,2008,9,Control,10/15/2008,Petalostemum villosum,4
E244,2008,9,Control,10/15/2008,Schizachyrium scoparium,15
E244,2008,9,Control,10/15/2008,Solidago nemoralis,6
E244,2008,10,SoilDrenchFungicide,10/15/2008,Achillea millefolium,1
E244,2008,10,SoilDrenchFungicide,10/15/2008,Bare ground,16
E244,2008,10,SoilDrenchFungicide,10/15/2008,Bouteloua gracilis,22
E244,2008,10,SoilDrenchFungicide,10/15/2008,Lespedeza capitata,1
E244,2008,10,SoilDrenchFungicide,10/15/2008,Liatris aspera,6
E244,2008,10,SoilDrenchFungicide,10/15/2008,Lupinus perennis,8
E244,2008,10,SoilDrenchFungicide,10/15/2008,Monarda fistulosa,8
E244,2008,10,SoilDrenchFungicide,10/15/2008,Petalostemum purpureum,3
E244,2008,10,SoilDrenchFungicide,10/15/2008,Petalostemum villosum,10
E244,2008,10,SoilDrenchFungicide,10/15/2008,Schizachyrium scoparium,15
E244,2008,10,SoilDrenchFungicide,10/15/2008,Solidago nemoralis,10
E244,2008,11,SoilDrenchFungicide,10/15/2008,Achillea millefolium,2.5
E244,2008,11,SoilDrenchFungicide,10/15/2008,Bare ground,52
E244,2008,11,SoilDrenchFungicide,10/15/2008,Cyperus sp.,1.5
E244,2008,11,SoilDrenchFungicide,10/15/2008,Miscellaneous grasses,21
E244,2008,11,SoilDrenchFungicide,10/15/2008,Lespedeza capitata,1
E244,2008,11,SoilDrenchFungicide,10/15/2008,Lupinus perennis,9
E244,2008,11,SoilDrenchFungicide,10/15/2008,Miscellaneous forbs,6
E244,2008,11,SoilDrenchFungicide,10/15/2008,Mosses,2
E244,2008,11,SoilDrenchFungicide,10/15/2008,Rumex acetosella,3
E244,2008,11,SoilDrenchFungicide,10/15/2008,Taraxicum officinalis,2
E244,2008,12,AllPesticides,10/15/2008,Achillea millefolium,12
E244,2008,12,AllPesticides,10/15/2008,Bare ground,61
E244,2008,12,AllPesticides,10/15/2008,Miscellaneous grasses,18
E244,2008,12,AllPesticides,10/15/2008,Miscellaneous forbs,6
E244,2008,12,AllPesticides,10/15/2008,Mollugo verticillata,1
E244,2008,12,AllPesticides,10/15/2008,Taraxicum officinalis,2
E244,2008,13,FoliarFungicide,10/15/2008,Achillea millefolium,1
E244,2008,13,FoliarFungicide,10/15/2008,Bare ground,60
E244,2008,13,FoliarFungicide,10/15/2008,Cyperus sp.,3
E244,2008,13,FoliarFungicide,10/15/2008,Miscellaneous grasses,19
E244,2008,13,FoliarFungicide,10/15/2008,Miscellaneous forbs,7
E244,2008,13,FoliarFungicide,10/15/2008,Rumex acetosella,8
E244,2008,13,FoliarFungicide,10/15/2008,Taraxicum officinalis,2
E244,2008,14,Insecticide,10/15/2008,Achillea millefolium,7
E244,2008,14,Insecticide,10/15/2008,Bare ground,56
E244,2008,14,Insecticide,10/15/2008,Bouteloua gracilis,3
E244,2008,14,Insecticide,10/15/2008,Cyperus sp.,2
E244,2008,14,Insecticide,10/15/2008,Miscellaneous grasses,18
E244,2008,14,Insecticide,10/15/2008,Miscellaneous forbs,4
E244,2008,14,Insecticide,10/15/2008,Mosses,6
E244,2008,14,Insecticide,10/15/2008,Rumex acetosella,4
E244,2008,15,Control,10/15/2008,Achillea millefolium,1
E244,2008,15,Control,10/15/2008,Bare ground,63
E244,2008,15,Control,10/15/2008,Miscellaneous grasses,19
E244,2008,15,Control,10/15/2008,Miscellaneous forbs,3
E244,2008,15,Control,10/15/2008,Mosses,8
E244,2008,15,Control,10/15/2008,Rumex acetosella,4
E244,2008,15,Control,10/15/2008,Taraxicum officinalis,2
E244,2008,16,FoliarFungicide,10/15/2008,Achillea millefolium,3
E244,2008,16,FoliarFungicide,10/15/2008,Andropogon gerardi,5
E244,2008,16,FoliarFungicide,10/15/2008,Bare ground,36
E244,2008,16,FoliarFungicide,10/15/2008,Bouteloua gracilis,12
E244,2008,16,FoliarFungicide,10/15/2008,Lespedeza capitata,2
E244,2008,16,FoliarFungicide,10/15/2008,Liatris aspera,4
E244,2008,16,FoliarFungicide,10/15/2008,Lupinus perennis,6
E244,2008,16,FoliarFungicide,10/15/2008,Petalostemum purpureum,2
E244,2008,16,FoliarFungicide,10/15/2008,Petalostemum villosum,6
E244,2008,16,FoliarFungicide,10/15/2008,Schizachyrium scoparium,12
E244,2008,16,FoliarFungicide,10/15/2008,Solidago nemoralis,12
E244,2008,17,Control,10/15/2008,Achillea millefolium,1
E244,2008,17,Control,10/15/2008,Andropogon gerardi,1
E244,2008,17,Control,10/15/2008,Bare ground,21
E244,2008,17,Control,10/15/2008,Bouteloua gracilis,26
E244,2008,17,Control,10/15/2008,Lespedeza capitata,4
E244,2008,17,Control,10/15/2008,Liatris aspera,2
E244,2008,17,Control,10/15/2008,Petalostemum purpureum,2
E244,2008,17,Control,10/15/2008,Petalostemum villosum,25
