Year,Date,Experiment,Plot,Species,Mass(g),Mass g/m^2)
2007,10/05/07,E244,1,Agropyron repens,0.11,1.1
2007,10/05/07,E244,1,Aristida basiramea,0.96,9.6
2007,10/05/07,E244,1,Bouteloua gracilis,0.03,0.3
2007,10/05/07,E244,1,Cyperus sp.,0.06,0.6
2007,10/05/07,E244,1,Lespedeza capitata,5.42,54.2
2007,10/05/07,E244,1,Schizachyrium scoparium,0.13,1.3
2007,10/02/07,E244,2,Agropyron repens,0.22,2.2
2007,10/02/07,E244,2,Agrostis scabra,2.05,20.5
2007,10/02/07,E244,2,Cyperus sp.,0.6,6
2007,10/02/07,E244,2,Lespedeza capitata,0.32,3.2
2007,10/16/07,E244,3,Aristida basiramea,2.04,20.4
2007,10/16/07,E244,3,Bouteloua gracilis,0.01,0.1
2007,10/16/07,E244,3,Cyperus sp.,0.07,0.7
2007,10/16/07,E244,3,Cyperus Tectorum,0.17,1.7
2007,10/16/07,E244,3,Hedeoma hispida,0.04,0.4
2007,10/16/07,E244,3,Lespedeza capitata,8.31,83.1
2007,10/16/07,E244,3,Petalostemum purpureum,0.02,0.2
2007,10/16/07,E244,3,Taraxicum officinalis,0.09,0.9
2007,10/05/07,E244,4,Aristida basiramea,1.25,12.5
2007,10/05/07,E244,4,Crepis tectorum,0.01,0.1
2007,10/05/07,E244,4,Cyperus sp.,0.11,1.1
2007,10/05/07,E244,4,Euphorbia glyptosperma,0.01,0.1
2007,10/05/07,E244,4,Lespedeza capitata,5.86,58.6
2007,10/05/07,E244,4,Panicum oligosanthes,0.21,2.1
2007,10/05/07,E244,4,Rumex acetosella,0.38,3.8
2007,10/05/07,E244,4,Schizachyrium scoparium,0.06,0.6
2007,10/05/07,E244,5,Agrostis scabra,1.64,16.4
2007,10/05/07,E244,5,Ambrosia artemisiifolia elatior,0.23,2.3
2007,10/05/07,E244,5,Bouteloua gracilis,0.07,0.7
2007,10/05/07,E244,5,Crepis tectorum,0.08,0.8
2007,10/05/07,E244,5,Cyperus sp.,0.06,0.6
2007,10/05/07,E244,5,Lespedeza capitata,8.18,81.8
2007,10/05/07,E244,5,Poa pratensis,0.27,2.7
2007,10/05/07,E244,5,Rumex acetosella,0.08,0.8
2007,10/05/07,E244,6,Achillea millefolium(lanulosa),0.07,0.7
2007,10/05/07,E244,6,Andropogon gerardi,8.18,81.8
2007,10/05/07,E244,6,Bouteloua gracilis,1.43,14.3
2007,10/05/07,E244,6,Koeleria cristata,0.12,1.2
2007,10/05/07,E244,6,Lespedeza capitata,0.95,9.5
2007,10/05/07,E244,6,Lupinus perennis,6.58,65.8
2007,10/05/07,E244,6,Panicum virgatum,0.15,1.5
2007,10/05/07,E244,6,Petalostemum purpureum,2.05,20.5
2007,10/05/07,E244,6,Petalostemum villosum,1.44,14.4
2007,10/05/07,E244,6,Schizachyrium scoparium,7.03,70.3
2007,10/05/07,E244,6,Solidago nemoralis,0.06,0.6
2007,10/05/07,E244,6,Solidago rigida,6.02,60.2
2007,10/05/07,E244,6,Sorghastrum nutans,1.85,18.5
2007,10/05/07,E244,7,Amorpha canescens,4.35,43.5
2007,10/05/07,E244,7,Andropogon gerardi,5.4,54
2007,10/05/07,E244,7,Bouteloua gracilis,0.84,8.4
2007,10/05/07,E244,7,Koeleria cristata,0.13,1.3
2007,10/05/07,E244,7,Lespedeza capitata,2.11,21.1
2007,10/05/07,E244,7,Lupinus perennis,1.94,19.4
2007,10/05/07,E244,7,Petalostemum candidum,0.04,0.4
2007,10/05/07,E244,7,Petalostemum purpureum,0.99,9.9
2007,10/05/07,E244,7,Petalostemum villosum,1.28,12.8
2007,10/05/07,E244,7,Schizachyrium scoparium,3.09,30.9
2007,10/05/07,E244,7,Solidago rigida,3.41,34.1
2007,10/05/07,E244,7,Sorghastrum nutans,0.65,6.5
2007,10/02/07,E244,8,Bouteloua curtipendula,0.09,0.9
2007,10/02/07,E244,8,Bouteloua gracilis,1.5,15
2007,10/02/07,E244,8,Koeleria cristata,0.01,0.1
2007,10/02/07,E244,8,Lespedeza capitata,3.23,32.3
2007,10/02/07,E244,8,Liatris aspera,0.19,1.9
