Year,Date,Experiment,Plot,Species,Mass(g),Mass g/m^2)
2009,8/19/2009,E244,1,Roots,1.049,172.53
2009,8/20/2009,E244,2,Roots,1.654,272.04
2009,8/20/2009,E244,3,Roots,3.629,596.88
2009,8/20/2009,E244,4,Roots,0.843,138.65
2009,8/20/2009,E244,5,Roots,2.257,371.22
2009,8/19/2009,E244,6,Roots,4.893,804.77
2009,8/20/2009,E244,7,Roots,6.662,1095.72
2009,8/19/2009,E244,8,Roots,3.753,617.27
2009,8/19/2009,E244,9,Roots,9.122,1500.33
2009,8/19/2009,E244,10,Roots,5.645,928.45
2009,8/19/2009,E244,11,Roots,0.159,26.15
2009,8/19/2009,E244,12,Roots,0.796,130.92
2009,8/19/2009,E244,13,Roots,0.282,46.38
2009,8/19/2009,E244,14,Roots,0.845,138.98
2009,8/19/2009,E244,15,Roots,0.357,58.72
2009,8/19/2009,E244,16,Roots,4.13,679.28
2009,8/19/2009,E244,17,Roots,3.654,600.99
2009,8/20/2009,E244,18,Roots,2.554,420.07
2009,8/20/2009,E244,19,Roots,3.813,627.14
2009,8/20/2009,E244,20,Roots,4.219,693.91
2009,8/19/2009,E244,21,Roots,11.766,1935.2
2009,8/20/2009,E244,22,Roots,4.149,682.4
2009,8/20/2009,E244,23,Roots,4.973,817.93
2009,8/19/2009,E244,24,Roots,4.796,788.82
2009,8/19/2009,E244,25,Roots,8.042,1322.7
2009,8/19/2009,E244,26,Roots,2.643,434.7
2009,8/20/2009,E244,27,Roots,3.259,536.02
2009,8/19/2009,E244,28,Roots,2.743,451.15
2009,8/19/2009,E244,29,Roots,1.385,227.8
2009,8/19/2009,E244,30,Roots,2.384,392.11
2009,8/19/2009,E244,31,Roots,12.285,2020.56
2009,8/19/2009,E244,32,Roots,3.566,586.51
2009,8/19/2009,E244,33,Roots,10.376,1706.58
2009,8/19/2009,E244,34,Roots,7.524,1237.5
2009,8/19/2009,E244,35,Roots,12.013,1975.82
2009,8/20/2009,E244,36,Roots,4.347,714.97
2009,8/20/2009,E244,37,Roots,7.868,1294.08
2009,8/19/2009,E244,38,Roots,6.225,1023.85
2009,8/19/2009,E244,39,Roots,3.441,565.95
2009,8/19/2009,E244,40,Roots,6.361,1046.22
2009,8/20/2009,E244,41,Roots,2.019,332.07
2009,8/19/2009,E244,42,Roots,3.283,539.97
2009,8/19/2009,E244,43,Roots,5.633,926.48
2009,8/20/2009,E244,44,Roots,9.07,1491.78
2009,8/19/2009,E244,45,Roots,4.719,776.15
2009,8/20/2009,E244,46,Roots,5.35,879.93
2009,8/19/2009,E244,47,Roots,8.902,1464.14
2009,8/20/2009,E244,48,Roots,5.98,983.55
2009,8/19/2009,E244,49,Roots,4.549,748.19
2009,8/19/2009,E244,50,Roots,9.279,1526.15
2009,8/19/2009,E244,51,Roots,4.652,765.13
2009,8/20/2009,E244,52,Roots,1.66,273.03
2009,8/20/2009,E244,53,Roots,4.78,786.18
