spcode,species,fun.group,yield.slope,yield.type
Bargr,Bare ground,-,,
Agrsm,Agropyron smithii,C-3,,
Elyca,Elymus canadensis,C-3,,
Koecr,Koeleria cristata,C-3,-1.4500,neutral
Poapr,Poa pratensis,C-3,-0.3150,over
Andge,Andropogon gerardi,C-4,-0.2810,over
Panvi,Panicum virgatum,C-4,-1.5000,neutral
Schsc,Schizachyrium scoparium,C-4,-0.1840,over
Sornu,Sorghastrum nutans,C-4,-0.4360,over
Achmi,Achillea millefolium,Forb,-0.8010,neutral
Asctu,Asclepias tuberosa,Forb,-2.7600,under
Liaas,Liatris aspera,Forb,-2.0500,under
Monfi,Monarda fistulosa,Forb,-2.7000,under
Solri,Solidago rigida,Forb,-2.2700,under
Amoca,Amorpha canescens,Legume,,
Lesca,Lespedeza capitata,Legume,-0.7540,over
Luppe,Lupinus perennis,Legume,-0.0822,over
Petca,Petalostemum candidum,Legume,,
Petpu,Petalostemum purpureum,Legume,-1.9500,neutral
Petvi,Petalostemum villosum,Legume,,
Queel,Quercus ellipsoidalis,Woody,,
Quema,Quercus macrocarpa,Woody,,
