plot,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17
2,Lesca,,,,,,,,,,,,,,,,
3,Asctu,Liaas,Monfi,Panvi,Solri,,,,,,,,,,,,
5,Andge,,,,,,,,,,,,,,,,
6,Panvi,Schsc,,,,,,,,,,,,,,,
9,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Quema,Schsc,Solri,Sornu
11,Achmi,,,,,,,,,,,,,,,,
12,Achmi,Koecr,Luppe,Monfi,Petca,Petvi,Poapr,Schsc,Solri,Sornu,,,,,,,
14,Asctu,Liaas,,,,,,,,,,,,,,,
15,Agrsm,Elyca,Monfi,Petca,Petpu,Petvi,Poapr,Queel,Quema,Solri,,,,,,,
16,Asctu,,,,,,,,,,,,,,,,
20,Amoca,,,,,,,,,,,,,,,,
22,Agrsm,Asctu,Elyca,Koecr,Liaas,Monfi,Petca,Petvi,Quema,Solri,,,,,,,
24,Asctu,Elyca,Panvi,Schsc,,,,,,,,,,,,,
26,Agrsm,Elyca,Petpu,Sornu,,,,,,,,,,,,,
27,Achmi,Agrsm,Amoca,Asctu,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri,Sornu
28,Lesca,Petpu,Queel,Quema,,,,,,,,,,,,,
29,Lesca,,,,,,,,,,,,,,,,
30,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Liaas,Luppe,Monfi,Panvi,Poapr,Queel,Quema,Schsc,Solri,Sornu
31,Schsc,,,,,,,,,,,,,,,,
32,Andge,Queel,,,,,,,,,,,,,,,
33,Agrsm,Andge,Liaas,Petca,Petvi,,,,,,,,,,,,
34,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri,Sornu
35,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Queel,Quema,Schsc,Solri,Sornu
44,Asctu,Panvi,Petca,Petpu,Petvi,,,,,,,,,,,,
45,Andge,Liaas,Petpu,Quema,,,,,,,,,,,,,
46,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri
48,Koecr,Lesca,,,,,,,,,,,,,,,
50,Achmi,Elyca,Koecr,Lesca,Petca,Petpu,Petvi,Poapr,Quema,,,,,,,,
53,Lesca,Poapr,Quema,Sornu,,,,,,,,,,,,,
56,Luppe,Schsc,,,,,,,,,,,,,,,
57,Achmi,Agrsm,Koecr,Lesca,Monfi,Petca,Petvi,Poapr,Schsc,Solri,,,,,,,
58,Andge,Monfi,Poapr,Solri,Sornu,,,,,,,,,,,,
62,Elyca,Lesca,Petca,Petvi,Quema,,,,,,,,,,,,
67,Agrsm,Koecr,Luppe,Monfi,Petca,Petvi,Queel,Quema,Solri,Sornu,,,,,,,
68,Achmi,Agrsm,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri,Sornu
69,Achmi,,,,,,,,,,,,,,,,
70,Andge,Asctu,Luppe,Schsc,,,,,,,,,,,,,
73,Monfi,Queel,Solri,,,,,,,,,,,,,,
74,Achmi,Agrsm,Asctu,Elyca,Koecr,Petca,Petvi,Quema,Sornu,,,,,,,,
75,Asctu,Panvi,,,,,,,,,,,,,,,
81,Achmi,Agrsm,Elyca,Lesca,Liaas,Petpu,Poapr,Schsc,,,,,,,,,
82,Achmi,Amoca,Andge,Asctu,Elyca,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri,Sornu
83,Luppe,,,,,,,,,,,,,,,,
87,Sornu,,,,,,,,,,,,,,,,
89,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Liaas,Luppe,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Sornu,
92,Sornu,,,,,,,,,,,,,,,,
93,Agrsm,Koecr,Luppe,Petpu,,,,,,,,,,,,,
94,Lesca,,,,,,,,,,,,,,,,
98,Achmi,Agrsm,Andge,Koecr,Luppe,Panvi,Poapr,Queel,,,,,,,,,
104,Achmi,Elyca,Koecr,Liaas,Luppe,Petpu,Queel,Schsc,,,,,,,,,
107,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri
108,Achmi,Agrsm,Amoca,Andge,Elyca,Koecr,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Solri,Sornu
109,Andge,,,,,,,,,,,,,,,,
110,Elyca,Lesca,Luppe,Panvi,,,,,,,,,,,,,
111,Achmi,Agrsm,Lesca,Monfi,Petca,Petvi,Poapr,Queel,Quema,Solri,,,,,,,
115,Agrsm,Andge,Asctu,Elyca,Koecr,Monfi,Poapr,Queel,Solri,,,,,,,,
117,Asctu,Luppe,,,,,,,,,,,,,,,
118,Achmi,Agrsm,Andge,Asctu,Koecr,Monfi,Petpu,Quema,Solri,,,,,,,,
125,Petpu,Schsc,,,,,,,,,,,,,,,
126,Bargr,,,,,,,,,,,,,,,,
127,Lesca,Quema,,,,,,,,,,,,,,,
129,Liaas,,,,,,,,,,,,,,,,
130,Achmi,Asctu,Elyca,Liaas,Panvi,Petpu,Quema,Schsc,,,,,,,,,
133,Lesca,Monfi,Petca,Petvi,Schsc,Solri,,,,,,,,,,,
135,Schsc,,,,,,,,,,,,,,,,
136,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Queel,Quema,Schsc,Solri,Sornu
137,Amoca,,,,,,,,,,,,,,,,
138,Achmi,Elyca,Koecr,Liaas,,,,,,,,,,,,,
139,Agrsm,Elyca,Koecr,Lesca,,,,,,,,,,,,,
142,Koecr,,,,,,,,,,,,,,,,
146,Achmi,Andge,Lesca,Monfi,Panvi,Poapr,Queel,Quema,Solri,,,,,,,,
149,Monfi,Petca,Petvi,Quema,Solri,Sornu,,,,,,,,,,,
151,Queel,,,,,,,,,,,,,,,,
153,Agrsm,,,,,,,,,,,,,,,,
156,Achmi,Agrsm,Amoca,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Monfi,Panvi,Petpu,Queel,Quema,Schsc,Solri,Sornu
157,Agrsm,Koecr,,,,,,,,,,,,,,,
