Exp,Year,Month,Plot,Strip,Substrip,Date,Species,NumSp,SpNum,FgNum,Fgset,C3,C4,Forb,Legume,Woody,Achmi,Agrsm,Amocan,Andge,Asctu,Elyca,Koecr,Lesca,Liaas,Luppe,Monfi,Panvi,Petpu,Poapr,Queel,Quema,Schsc,Sornu,Biomass (g/m2),Note
120,2001,6,2,1,,6/18/2001,Unsorted biomass,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33.367,
120,2001,6,2,2,,6/18/2001,Unsorted biomass,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.65,
120,2001,6,2,3,,6/18/2001,Miscellaneous litter,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.753,
120,2001,6,2,3,,6/18/2001,Elymus canadensis,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.022,
120,2001,6,2,3,,6/18/2001,Cyperus sp.,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.398,
120,2001,6,2,3,,6/18/2001,Lespedeza capitata,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,61.542,
120,2001,6,2,3,,6/18/2001,Chenopodium leptophyllum,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.047,
120,2001,6,2,3,,6/18/2001,Crepis tectorum,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.038,
120,2001,6,2,3,,6/18/2001,Erigeron canadensis,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.113,
120,2001,6,2,3,,6/18/2001,Lepidium densiflorum,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.008,
120,2001,6,2,3,,6/18/2001,Polygonum convolvulus,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.797,
120,2001,6,2,3,,6/18/2001,Polygonum tenue,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.095,
120,2001,6,2,3,,6/18/2001,Taraxicum officinalis,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.052,
120,2001,6,2,4,,6/18/2001,Unsorted biomass,1,1,1,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68.35,
120,2001,6,3,1,,6/18/2001,Unsorted biomass,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,53.517,
120,2001,6,3,2,,6/18/2001,Unsorted biomass,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,24.033,
120,2001,6,3,3,,6/18/2001,Miscellaneous litter,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.05,
120,2001,6,3,3,,6/18/2001,Panicum virgatum,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,15.057,
120,2001,6,3,3,,6/18/2001,Monarda fistulosa,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2.585,
120,2001,6,3,3,,6/18/2001,Liatris aspera,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,21.437,
120,2001,6,3,3,,6/18/2001,Silene antirrhina,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.04,
120,2001,6,3,3,,6/18/2001,Solidago rigida,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.792,
120,2001,6,3,3,,6/18/2001,Polygonum tenue,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.025,
120,2001,6,3,4,,6/18/2001,Unsorted biomass,4,5,2,4F,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,41.167,
120,2001,6,5,1,,6/18/2001,Unsorted biomass,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.883,
120,2001,6,5,2,,6/18/2001,Unsorted biomass,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.05,
120,2001,6,5,3,,6/18/2001,Andropogon gerardi,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.335,
120,2001,6,5,3,,6/18/2001,Lupinus perennis,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,
120,2001,6,5,3,,6/18/2001,Chenopodium leptophyllum,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,
120,2001,6,5,3,,6/18/2001,Hedeoma hispida,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,
120,2001,6,5,3,,6/18/2001,Polygonum convolvulus,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,
120,2001,6,5,4,,6/18/2001,Unsorted biomass,1,1,1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.883,
120,2001,6,6,1,,6/18/2001,Unsorted biomass,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,38.983,
120,2001,6,6,2,,6/18/2001,Unsorted biomass,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,37.167,
120,2001,6,6,3,,6/18/2001,Schizachyrium scoparium,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,43.767,
120,2001,6,6,3,,6/18/2001,Panicum virgatum,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4.717,
120,2001,6,6,3,,6/18/2001,Cyperus sp.,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.003,
120,2001,6,6,4,,6/18/2001,Unsorted biomass,2,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,31.783,
