Experiment,Plot,Trt,Diversity
E244,1,AllPesticides,1
E244,2,Insecticide,1
E244,3,Control,1
E244,4,SoilDrenchFungicide,1
E244,5,FoliarFungicide,1
E244,6,FoliarFungicide,32
E244,7,Insecticide,32
E244,8,AllPesticides,32
E244,9,Control,32
E244,10,FoliarFungicide,32
E244,11,SoilDrenchFungicide,1
E244,12,AllPesticides,1
E244,13,FoliarFungicide,1
E244,14,Insecticide,1
E244,15,Control,1
E244,16,FoliarFungicide,32
E244,17,Control,32
E244,18,SoilDrenchFungicide,32
E244,19,Insecticide,32
E244,20,AllPesticides,32
E244,21,FoliarFungicide,16
E244,22,SoilDrenchFungicide,16
E244,23,AllPesticides,16
E244,24,Control,16
E244,25,Insecticide,16
E244,26,AllPesticides,1
E244,27,SoilDrenchFungicide,1
E244,28,Insecticide,1
E244,29,Control,1
E244,30,FoliarFungicide,1
E244,31,SoilDrenchFungicide,32
E244,32,Control,32
E244,33,FoliarFungicide,32
E244,34,AllPesticides,32
E244,35,Insecticide,32
E244,36,AllPesticides,16
E244,37,Control,16
E244,38,SoilDrenchFungicide,16
E244,39,Insecticide,16
E244,40,FoliarFungicide,16
E244,41,Insecticide,1
E244,42,AllPesticides,1
E244,43,FoliarFungicide,1
E244,44,Control,1
E244,45,SoilDrenchFungicide,1
E244,46,SoilDrenchFungicide,4
E244,47,Control,4
E244,48,Insecticide,4
E244,49,FoliarFungicide,4
E244,50,AllPesticides,4
E244,51,Control,1
E244,52,SoilDrenchFungicide,1
E244,53,FoliarFungicide,1
E244,54,Insecticide,1
E244,55,AllPesticides,1
E244,56,FoliarFungicide,4
E244,57,Insecticide,4
E244,58,SoilDrenchFungicide,4
E244,59,Control,4
E244,60,AllPesticides,4
E244,61,Insecticide,1
E244,62,FoliarFungicide,1
E244,63,SoilDrenchFungicide,1
E244,64,Control,1
E244,65,AllPesticides,1
E244,66,SoilDrenchFungicide,4
E244,67,AllPesticides,4
E244,68,Insecticide,4
E244,69,Control,4
E244,70,FoliarFungicide,4
E244,71,SoilDrenchFungicide,4
E244,72,FoliarFungicide,4
E244,73,AllPesticides,4
E244,74,Insecticide,4
E244,75,Control,4
E244,76,FoliarFungicide,16
E244,77,Insecticide,16
E244,78,Control,16
E244,79,AllPesticides,16
E244,80,SoilDrenchFungicide,16
E244,81,Insecticide,16
E244,82,Control,16
E244,83,SoilDrenchFungicide,16
E244,84,AllPesticides,16
E244,85,FoliarFungicide,16
E244,86,Insecticide,4
E244,87,Control,4
E244,88,FoliarFungicide,4
E244,89,SoilDrenchFungicide,4
E244,90,AllPesticides,4
E244,91,Insecticide,4
E244,92,SoilDrenchFungicide,4
E244,93,Control,4
E244,94,FoliarFungicide,4
E244,95,AllPesticides,4
E244,96,AllPesticides,1
E244,97,Insecticide,1
E244,98,Control,1
E244,99,FoliarFungicide,1
E244,100,SoilDrenchFungicide,1
E244,101,SoilDrenchFungicide,4
E244,102,AllPesticides,4
E244,103,FoliarFungicide,4
E244,104,Control,4
E244,105,Insecticide,4
E244,106,SoilDrenchFungicide,1
E244,107,Control,1
E244,108,Insecticide,1
E244,109,AllPesticides,1
E244,110,FoliarFungicide,1
E244,111,FoliarFungicide,32
E244,112,SoilDrenchFungicide,32
E244,113,AllPesticides,32
E244,114,Control,32
E244,115,Insecticide,32
E244,116,SoilDrenchFungicide,16
E244,117,FoliarFungicide,16
E244,118,Control,16
E244,119,AllPesticides,16
E244,120,Insecticide,16
E244,121,SoilDrenchFungicide,1
E244,122,FoliarFungicide,1
E244,123,Control,1
E244,124,Insecticide,1
E244,125,AllPesticides,1
E244,126,Control,32
E244,127,AllPesticides,32
E244,128,SoilDrenchFungicide,32
E244,129,FoliarFungicide,32
E244,130,Insecticide,32
E244,131,AllPesticides,1
E244,132,Control,1
E244,133,Insecticide,1
E244,134,FoliarFungicide,1
E244,135,SoilDrenchFungicide,1
E244,136,AllPesticides,16
E244,137,Insecticide,16
E244,138,Control,16
E244,139,SoilDrenchFungicide,16
E244,140,FoliarFungicide,16
E244,141,FoliarFungicide,1
E244,142,Control,1
E244,143,SoilDrenchFungicide,1
E244,144,Insecticide,1
E244,145,AllPesticides,1
E244,146,Insecticide,1
E244,147,AllPesticides,1
E244,148,Control,1
E244,149,FoliarFungicide,1
E244,150,SoilDrenchFungicide,1
E244,151,AllPesticides,4
E244,152,FoliarFungicide,4
E244,153,SoilDrenchFungicide,4
E244,154,Control,4
E244,155,Insecticide,4
E244,156,AllPesticides,2
E244,157,FoliarFungicide,2
E244,158,Control,2
E244,159,Insecticide,2
E244,160,SoilDrenchFungicide,2
E244,161,AllPesticides,1
E244,162,Insecticide,1
E244,163,FoliarFungicide,1
E244,164,SoilDrenchFungicide,1
E244,165,Control,1
E244,166,AllPesticides,32
E244,167,Control,32
E244,168,FoliarFungicide,32
E244,169,SoilDrenchFungicide,32
E244,170,Insecticide,32
E244,171,Insecticide,16
E244,172,Control,16
E244,173,AllPesticides,16
E244,174,SoilDrenchFungicide,16
E244,175,FoliarFungicide,16
E244,176,Control,16
E244,177,FoliarFungicide,16
E244,178,SoilDrenchFungicide,16
E244,179,Insecticide,16
E244,180,AllPesticides,16
E244,181,Insecticide,1
E244,182,FoliarFungicide,1
E244,183,AllPesticides,1
E244,184,Control,1
E244,185,SoilDrenchFungicide,1
E244,186,Insecticide,4
E244,187,FoliarFungicide,4
E244,188,AllPesticides,4
E244,189,SoilDrenchFungicide,4
E244,190,Control,4
E244,191,FoliarFungicide,16
E244,192,SoilDrenchFungicide,16
E244,193,Control,16
E244,194,AllPesticides,16
E244,195,Insecticide,16
E244,196,SoilDrenchFungicide,1
E244,197,Insecticide,1
E244,198,AllPesticides,1
E244,199,FoliarFungicide,1
E244,200,Control,1
E244,201,FoliarFungicide,2
E244,202,AllPesticides,2
E244,203,Control,2
E244,204,SoilDrenchFungicide,2
E244,205,Insecticide,2
